source,date posted,title,description,url,transmission,location,price,year,mileage,YearScore,MileageScore,PriceScore,TotalScore,PMScore,
autoTRADER,,"2011 mazda mazda3 gx auto air,power group","very clean ontario car,no smoker no rust,new tires,priced to sale plus hst,pleas call for appoint...",http://wwwb.autotrader.ca/a/Mazda/MAZDA3/Mississauga/Ontario/5_26973343_ON20090607182953638/?showcpo=ShowCPO&orup=8_100_25,,within 22 km,"$7,900",2011,"89,000",0.25,0.155558516,0.025,0.430558516,0.180558516,
Kijiji,01/08/2016,2011 ford focus se sedan,sync usb port power windows ac bluetooth no accidents regular maintenance,http://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2011-ford-focus-se-sedan/1171657154,automatic,oakville / halton region,"$8,000.00",2011,"88,000",0.25,0.170359516,0,0.420359516,0.170359516,
Kijiji,26/08/2016,2011 nissan altima sedan,- new brakes changed in 2016 - keyless entry - push button start - cruise control - abs - folding rear seat,http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2011-nissan-altima-sedan/1193784980,automatic,mississauga / peel region,"$8,000.00",2011,"90,000",0.25,0.140757515,0,0.390757515,0.140757515,
Kijiji,26/08/2016,2010 ford focus sel |leather| |auto| |immaculate|,,http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2010-ford-focus-sel-leather-auto-immaculate/1191927209,automatic,mississauga / peel region,"$7,888.00",2010,"94,150",0,0.079333363,0.028,0.107333363,0.107333363,
Kijiji,08/09/2016,"2011 mazda 3 gs dealer of the year 2015, and 2016...!!!",,http://www.kijiji.ca/v-cars-trucks/city-of-toronto/2011-mazda-3-gs-dealer-of-the-year-2015-and-2016/1156728528,automatic,city of toronto,"$7,990.00",2011,"92,486",0.25,0.103962228,0.0025,0.356462228,0.106462228,
Kijiji,18/08/2016,2010 ford focus sedan,"clean car, new brakes and tires less than 4000km ago, new battery 7000 km ago. bills to prove. power windows / mirrors / door locks. air conditioning, tilt steering. mike",http://www.kijiji.ca/v-cars-trucks/guelph/2010-ford-focus-sedan/1189765995,automatic,guelph,"$7,995.00",2010,"94,577",0,0.073013336,0.00125,0.074263336,0.074263336,
Kijiji,06/09/2016,"2010 chevrolet cobalt ls | only 97,940kms | a/c | auto | 4 door",,http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2010-chevrolet-cobalt-ls-only-97-940kms-a-c-auto-4-door/1180312529,automatic,mississauga / peel region,"$7,950.00",2010,"97,940",0,0.023237571,0.0125,0.035737571,0.035737571,
autoTRADER,,"2010 chevrolet cobalt ls | only 97,940kms | a/c | auto | 4 door |",just in on trade for a client moving up to a 14 kia rio is this black beauty 2010 chevrolet cobal...,http://wwwb.autotrader.ca/a/Chevrolet/Cobalt/Georgetown/Ontario/5_28321332_ON20080206114620836/?showcpo=ShowCPO&orup=7_100_25,,within 24 km,"$7,950",2010,"97,940",0,0.023237571,0.0125,0.035737571,0.035737571,
Kijiji,26/08/2016,2010 chevrolet impala ls,,http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2010-chevrolet-impala-ls/1193679317,automatic,mississauga / peel region,"$7,900.00",2010,"99,000",0,0.00754851,0.025,0.03254851,0.03254851,
Kijiji,28/08/2016,2012 hyundai elantra sedan,km 99000 4 door automatic air condition grey colour .runs drive perfect some scratches. $8000 serious buyer only .,http://www.kijiji.ca/v-cars-trucks/city-of-toronto/2012-hyundai-elantra-sedan/1194331033,automatic,city of toronto,"$8,000.00",2012,"99,000",0.5,0.00754851,0,0.50754851,0.00754851,
Kijiji,02/09/2016,2011 kia forte ex sedan,"for sale by private owner - 2011 kia forte in great condition. includes: a/c, bluetooth, heated front seats brand new tires and new brakes. balance of extended warranty available. recently detailed.‰Û_",http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2011-kia-forte-ex-sedan/1195861197,automatic,mississauga / peel region,"$8,000.00",2011,"99,500",0.25,0.00014801,0,0.25014801,0.00014801,
autoTRADER,,2011 kia forte,for sale by private owner - 2011 kia forte in great condition. brand new tires and new brakes. ba...,http://wwwb.autotrader.ca/a/Kia/Forte/MISSISSAUGA/Ontario/19_9580322_/?showcpo=ShowCPO&orup=1_100_25,,within 12 km,"$8,000",2011,"99,500",0.25,0.00014801,0,0.25014801,0.00014801,
